"id","code","name","account_type","reconcile"
"l10n_id_mceasy_1210","1210","Piutang Dagang","asset_receivable","True"
"l10n_id_mceasy_1100","1100","Kas dan Setara Kas","asset_cash","False"
"l10n_id_mceasy_4300","4300","Other Revenue","income","False"
"l10n_id_mceasy_4301","4301","Other Revenue (MeTrack)","income","False"
"l10n_id_mceasy_1110","1110","Kas Kecil","asset_cash","False"
"l10n_id_mceasy_1290","1290","Pencadangan Piutang Tak Tertagih","asset_current","True"
"l10n_id_mceasy_1310","1310","Biaya Dibayar Dimuka Asuransi","asset_prepayments","True"
"l10n_id_mceasy_1320","1320","Biaya Dibayar Dimuka Lain-lain","asset_prepayments","True"
"l10n_id_mceasy_1710","1710","Advance Payment Supplier","asset_prepayments","True"
"l10n_id_mceasy_1510","1510","Aktiva Tetap - GPS","asset_fixed","False"
"l10n_id_mceasy_1520","1520","Aktiva Tetap - Sensor","asset_fixed","False"
"l10n_id_mceasy_1530","1530","Aktiva Tetap - Inventaris Kantor","asset_fixed","False"
"l10n_id_mceasy_1499","1499","Interim Stock","asset_current","True"
"l10n_id_mceasy_1350","1350","PPN Masukan","asset_current","True"
"l10n_id_mceasy_1400","1400","Persediaan","asset_current","False"
"l10n_id_mceasy_1401","1401","Persediaan Lainnya","asset_current","False"
"l10n_id_mceasy_1199","1199","Cash/Bank Clearing","asset_current","True"
"l10n_id_mceasy_1151","1151","CITIBANK IDR 0108750006","asset_cash","True"
"l10n_id_mceasy_6411_16","6411.16","BS. R&D - Product","expense","False"
"l10n_id_mceasy_1131","1131","OCBC IDR 050800385689","asset_cash","False"
"l10n_id_mceasy_1111","1111","Kas Kecil - Surabaya (BCA IDR 1888727999)","asset_cash","False"
"l10n_id_mceasy_1112","1112","Kas Kecil - Jakarta (BCA IDR 1888710999)","asset_cash","False"
"l10n_id_mceasy_1121","1121","BCA IDR 1882126689","asset_cash","False"
"l10n_id_mceasy_1122","1122","BCA IDR 1888866689","asset_cash","False"
"l10n_id_mceasy_1123","1123","BCA USD 1886766689","asset_cash","False"
"l10n_id_mceasy_1540","1540","Aktiva Tetap - Komputer","asset_fixed","False"
"l10n_id_mceasy_1550","1550","Aktiva Tetap - Kendaraan","asset_fixed","False"
"l10n_id_mceasy_1591","1591","Akumulasi Penyusutan - GPS","asset_fixed","False"
"l10n_id_mceasy_1592","1592","Akumulasi Penyusutan - Sensor","asset_fixed","False"
"l10n_id_mceasy_1593","1593","Akumulasi Penyusutan - Inventaris Kantor","asset_fixed","False"
"l10n_id_mceasy_1594","1594","Akumulasi Penyusutan - Komputer","asset_fixed","False"
"l10n_id_mceasy_1595","1595","Akumulasi Penyusutan - Kendaraan","asset_fixed","False"
"l10n_id_mceasy_2200","2200","Hutang Lain-Lain","liability_current","True"
"l10n_id_mceasy_2400","2400","Beban Yang Masih Harus Dibayar","liability_current","True"
"l10n_id_mceasy_2600","2600","Pendapatan Diterima Dimuka","liability_current","True"
"l10n_id_mceasy_2300","2300","Uang Jaminan","liability_current","True"
"l10n_id_mceasy_3110","3110","Modal Disetor","equity","False"
"l10n_id_mceasy_3210","3210","Seed Series","equity","False"
"l10n_id_mceasy_3220","3220","Series A","equity","False"
"l10n_id_mceasy_3910","3910","Laba Ditahan (Tahun Lalu)","equity","False"
"l10n_id_mceasy_3920","3920","Laba Ditahan (Tahun ini)","equity","False"
"l10n_id_mceasy_3999","3999","Historical Balance","equity","True"
"l10n_id_mceasy_4100","4100","Subscription Software Revenue","income","False"
"l10n_id_mceasy_4110","4110","Subscription License Revenue","income","False"
"l10n_id_mceasy_4120","4120","Subscription Usage-Based Revenue","income","False"
"l10n_id_mceasy_42000070","4400","Sales Discount","income","False"
"l10n_id_mceasy_5100","5100","Direct 3rd Party Costs","expense_direct_cost","False"
"l10n_id_mceasy_6470","6470","Biaya Rumah Tangga Kantor","expense","False"
"l10n_id_mceasy_6460","6460","Biaya Kurir","expense","False"
"l10n_id_mceasy_6450","6450","Biaya Sewa","expense","False"
